,时间,小屯公园,长辛店,丰台街道,新村街道,太平桥街道,右安门街道,西罗园街道,东铁匠营街道,方庄地区,宛平地区,长辛店街道,云岗街道,马家堡街道,东高地街道,大红门街道,南苑街道,和义街道,卢沟桥乡,花乡,南苑乡,长辛店镇,王佐镇,羊坊村盛芳花卉,千灵山,赵辛店村,小瓦窑村
0,2018/12/18 0:00,115.0,59.3,53.5,55.0,63.0,41.6,33.8,54.9,48.7,59.7,55.8,42.4,51.8,42.7,66.3,68.3,61.2,26.5,68.8,58.2,39.2,50.7,66.4,44.0,51.1,42.9
1,2018/12/17 23:00,92.1,63.7,59.0,48.4,66.5,39.3,29.0,51.5,43.5,58.7,54.6,44.0,50.0,41.5,61.9,60.4,58.8,25.8,68.2,54.3,35.8,51.6,64.6,46.8,50.6,46.6
2,2018/12/17 22:00,66.1,70.0,59.9,49.4,62.0,37.0,27.5,47.9,41.5,58.0,57.6,47.4,45.6,37.5,59.5,57.6,54.5,25.8,61.3,52.6,37.2,53.8,62.2,46.9,50.3,42.1
3,2018/12/17 21:00,67.8,68.1,55.8,55.0,58.5,31.2,25.2,46.4,39.6,57.2,55.6,47.2,38.1,32.8,55.4,65.9,51.8,23.3,57.7,50.6,38.1,53.1,58.4,47.9,50.4,41.4
4,2018/12/17 20:00,60.0,62.7,54.1,50.5,52.6,27.0,22.1,42.4,35.5,51.2,56.8,47.0,35.0,29.4,53.0,51.5,48.6,21.2,55.6,46.6,39.3,49.4,57.6,51.0,51.4,41.0
5,2018/12/17 19:00,53.8,51.5,,,,,,41.8,34.9,,,,,,,,,,,,35.9,,,,,
6,2018/12/17 18:00,45.7,27.7,46.0,40.2,51.8,22.8,14.4,36.6,24.0,47.8,48.3,43.2,24.1,22.8,40.6,40.6,35.2,18.0,43.6,35.7,36.0,53.6,54.2,45.1,44.9,38.7
7,2018/12/17 17:00,43.6,38.5,50.6,39.8,57.5,23.3,17.1,38.4,27.0,49.5,46.4,48.2,25.5,17.3,42.2,39.1,29.4,24.9,46.6,33.9,40.1,49.4,52.4,50.7,40.3,37.6
8,2018/12/17 16:00,35.0,37.8,45.7,44.9,48.3,24.9,15.5,40.0,26.9,50.4,48.6,45.2,24.9,22.7,40.7,41.9,33.1,29.2,49.8,33.9,42.7,44.1,54.4,54.8,40.7,34.2
9,2018/12/17 15:00,31.4,38.6,44.5,38.4,51.3,21.4,17.2,45.7,38.2,48.1,45.6,42.5,27.6,31.4,52.7,50.0,42.0,27.4,45.0,44.4,36.8,44.2,53.0,49.3,41.0,28.2
