,时间,南苑乡,南苑乡_root,相对偏差
12,2018-12-17 12:00:00,36.94281352453654,34.7,0.06463439551978492
13,2018-12-17 11:00:00,36.52670631657229,38.3,0.046300096173047256
14,2018-12-17 10:00:00,36.28406891067549,35.5,0.022086448188041875
30,2018-12-16 18:00:00,106.86762512504752,112.9,0.05343113263908309
31,2018-12-16 17:00:00,51.845754799867855,42.6,0.21703649764948013
33,2018-12-16 15:00:00,49.06852105930978,57.2,0.14215872273933955
34,2018-12-16 14:00:00,67.63207639630156,62.2,0.08733241794697032
35,2018-12-16 13:00:00,88.69676286089117,76.2,0.1639995126101203
36,2018-12-16 12:00:00,116.47949121105633,106.4,0.09473206025428874
37,2018-12-16 11:00:00,122.26923397006875,114.3,0.06972208197785439
38,2018-12-16 10:00:00,124.42060805617677,119.5,0.041176636453362135
39,2018-12-16 09:00:00,127.04350809270305,129.6,0.019726017803217165
40,2018-12-16 08:00:00,128.3034396899044,138.9,0.07628913110220023
41,2018-12-16 07:00:00,130.9617341671908,149.2,0.12224038761936455
42,2018-12-16 06:00:00,135.35127238895333,162.3,0.16604268398673244
43,2018-12-16 05:00:00,136.65110534713796,170.0,0.19616996854624733
44,2018-12-16 04:00:00,139.78738626977398,171.1,0.18300767814275873
45,2018-12-16 03:00:00,142.28883017336264,171.3,0.16935884312105878
46,2018-12-16 02:00:00,143.05289187417202,166.7,0.14185427789938795
47,2018-12-16 01:00:00,142.52774011746226,171.8,0.17038568034073195
48,2018-12-16 00:00:00,144.363454994341,178.6,0.19169398099473123
49,2018-12-15 23:00:00,138.91636180892434,167.9,0.17262440852338098
50,2018-12-15 22:00:00,142.76354103456435,173.2,0.17573013259489398
51,2018-12-15 21:00:00,137.99077136540419,156.4,0.11770606543859219
52,2018-12-15 20:00:00,138.22583635859633,169.8,0.18594913805302524
53,2018-12-15 19:00:00,129.6202262091481,157.8,0.17857904810425806
54,2018-12-15 18:00:00,109.4289453948127,109.3,0.0011797382873989322
55,2018-12-15 17:00:00,102.1900432422616,95.3,0.07229846004471771
56,2018-12-15 16:00:00,102.06361932989986,98.0,0.04146550336632515
57,2018-12-15 15:00:00,99.14396108455104,99.4,0.002575844219808535
58,2018-12-15 14:00:00,91.4531142271379,92.6,0.012385375516869242
59,2018-12-15 13:00:00,87.93116161122502,93.0,0.054503638588978255
60,2018-12-15 12:00:00,87.83060700893711,90.8,0.03270256598086883
61,2018-12-15 11:00:00,88.82985180452759,92.8,0.04278176934776298
62,2018-12-15 10:00:00,88.2652312420667,97.9,0.09841438976438509
63,2018-12-15 09:00:00,91.87714067278915,107.3,0.1437358744381253
64,2018-12-15 08:00:00,90.57672033028551,107.0,0.15348859504406065
65,2018-12-15 07:00:00,86.56773831803179,102.8,0.15790137822926276
66,2018-12-15 06:00:00,84.69313763699147,96.8,0.12507089217984022
67,2018-12-15 05:00:00,83.52460699922058,89.8,0.0698818819685904
68,2018-12-15 04:00:00,84.04479849712237,90.9,0.07541475800745472
69,2018-12-15 03:00:00,88.15034466772345,88.8,0.00731593842653775
70,2018-12-15 02:00:00,91.31040464774439,81.8,0.11626411549809773
71,2018-12-15 01:00:00,90.46720408053149,77.0,0.17489875429261673
72,2018-12-15 00:00:00,82.17087298728862,77.8,0.056180886726074825
74,2018-12-14 22:00:00,64.0539704121441,65.5,0.022076787600853492
75,2018-12-14 21:00:00,59.45591142988973,59.4,0.0009412698634635142
