,时间,南苑街道,南苑街道_root,相对偏差
12,2018-12-17 12:00:00,40.39482588850434,44.0,0.08193577526126493
13,2018-12-17 11:00:00,46.056903608111135,48.0,0.04048117483101802
14,2018-12-17 10:00:00,41.01837672791134,51.1,0.1972920405496803
15,2018-12-17 09:00:00,31.045074316956025,32.6,0.047697106841839754
30,2018-12-16 18:00:00,145.98400051942505,141.3,0.03314933134766483
31,2018-12-16 17:00:00,61.27958335165942,61.1,0.0029391710582556004
32,2018-12-16 16:00:00,31.487466910419773,31.8,0.009828084577994587
33,2018-12-16 15:00:00,63.46640840780559,58.2,0.09048811697260455
34,2018-12-16 14:00:00,83.09268103112272,89.6,0.07262632777764812
35,2018-12-16 13:00:00,89.40342868360698,90.2,0.008831167587505847
36,2018-12-16 12:00:00,114.01622747548414,119.8,0.048278568652052205
37,2018-12-16 11:00:00,131.29885072188773,150.7,0.12874020755217158
38,2018-12-16 10:00:00,134.3708958209452,149.4,0.10059641351442301
39,2018-12-16 09:00:00,135.73992106523937,147.4,0.07910501312592016
40,2018-12-16 08:00:00,136.67731890351928,153.8,0.11133082637503727
41,2018-12-16 07:00:00,143.41242259290797,151.3,0.05213203838130891
42,2018-12-16 06:00:00,161.12801570632192,163.8,0.016312480425385186
43,2018-12-16 05:00:00,165.76476949939484,184.0,0.09910451359024541
44,2018-12-16 04:00:00,172.9008304708343,189.8,0.08903672038548842
45,2018-12-16 03:00:00,175.974126817778,191.6,0.08155466170262002
46,2018-12-16 02:00:00,179.31463551808744,195.1,0.08090909524301668
47,2018-12-16 01:00:00,175.15639792102164,193.0,0.09245389678227131
48,2018-12-16 00:00:00,184.0382350520077,205.0,0.10225251194142582
49,2018-12-15 23:00:00,187.17076269617306,218.2,0.14220548718527468
50,2018-12-15 22:00:00,174.9351489960705,188.5,0.07196207429140321
51,2018-12-15 21:00:00,163.3316628062276,178.8,0.08651195298530431
52,2018-12-15 20:00:00,163.86597933549848,173.9,0.057699946316857535
53,2018-12-15 19:00:00,153.68940454190192,165.8,0.07304339842037448
54,2018-12-15 18:00:00,117.51315571731402,133.7,0.12106839403654428
55,2018-12-15 17:00:00,94.54809086346275,115.8,0.1835225314036032
56,2018-12-15 16:00:00,91.30059406367056,111.7,0.1826267317486969
57,2018-12-15 15:00:00,91.44354944814522,108.9,0.16029798486551686
58,2018-12-15 14:00:00,87.06600191231419,109.4,0.20414989111230175
59,2018-12-15 13:00:00,87.2222469931388,109.6,0.20417657852975546
60,2018-12-15 12:00:00,87.70132484488666,107.2,0.18189062644695286
61,2018-12-15 11:00:00,85.5712914385473,99.3,0.13825486970244402
62,2018-12-15 10:00:00,95.63472762989122,114.0,0.16109888043955073
63,2018-12-15 09:00:00,99.29263777350967,107.8,0.07891801694332402
64,2018-12-15 08:00:00,93.41919264458295,99.7,0.06299706474841578
65,2018-12-15 07:00:00,85.41339057155598,91.4,0.06549900906393902
66,2018-12-15 06:00:00,82.81418193162612,90.2,0.08188268368485453
67,2018-12-15 05:00:00,83.19781926634701,93.2,0.10731953576880893
68,2018-12-15 04:00:00,83.805160756431,92.6,0.09497666569728944
69,2018-12-15 03:00:00,82.01911445100623,87.8,0.06584152105915451
70,2018-12-15 02:00:00,75.09705640675297,81.2,0.07515940385772209
71,2018-12-15 01:00:00,71.90935859886379,83.9,0.14291586890508004
72,2018-12-15 00:00:00,69.75336510221703,80.9,0.13778287883538903
74,2018-12-14 22:00:00,61.53922052616199,69.2,0.11070490569130075
75,2018-12-14 21:00:00,56.62066119199484,65.4,0.13424065455665388
76,2018-12-14 20:00:00,51.99159529723969,60.6,0.1420528828838335
