,时间,大红门街道,大红门街道_root,相对偏差
12,2018-12-17 12:00:00,37.07967355334716,37.9,0.02164449727316188
13,2018-12-17 11:00:00,39.496044972364544,44.4,0.11044943755935709
14,2018-12-17 10:00:00,36.0047547935366,36.6,0.01626353023124052
30,2018-12-16 18:00:00,113.65715766120927,124.3,0.08562222316002195
31,2018-12-16 17:00:00,55.625461781621205,52.7,0.05551160875941559
33,2018-12-16 15:00:00,54.22027474987844,61.2,0.11404779820460066
34,2018-12-16 14:00:00,73.28321795807756,76.5,0.04204943845650252
35,2018-12-16 13:00:00,91.67745666221064,88.8,0.032403791241110896
36,2018-12-16 12:00:00,117.64995273566336,122.2,0.03723442933172374
37,2018-12-16 11:00:00,125.30716615706505,130.8,0.04199414253008376
38,2018-12-16 10:00:00,125.05620235946971,124.8,0.0020529035213919145
39,2018-12-16 09:00:00,125.70710876051646,128.9,0.024770296660074038
40,2018-12-16 08:00:00,127.03545810396294,127.6,0.0044243095300709745
41,2018-12-16 07:00:00,134.39934693913852,131.3,0.02360507950600543
42,2018-12-16 06:00:00,139.0757388423611,157.3,0.11585671428886789
43,2018-12-16 05:00:00,135.38694285671377,163.5,0.17194530362866195
44,2018-12-16 04:00:00,138.23371869164984,160.2,0.13711786085112454
45,2018-12-16 03:00:00,141.06525145658622,166.9,0.15479178276461222
46,2018-12-16 02:00:00,147.96357813809996,170.8,0.13370270410948507
47,2018-12-16 01:00:00,140.59699900380167,169.8,0.17198469373497255
48,2018-12-16 00:00:00,141.8810622775803,173.5,0.18224171597936428
49,2018-12-15 23:00:00,138.7960571000338,165.6,0.16185955857467504
50,2018-12-15 22:00:00,144.7196641179945,169.0,0.14367062652074253
51,2018-12-15 21:00:00,137.59876274412093,155.8,0.11682437263080281
52,2018-12-15 20:00:00,141.30536577326052,163.7,0.13680289692571454
53,2018-12-15 19:00:00,135.9411247994162,150.9,0.09913104838027703
54,2018-12-15 18:00:00,110.67263426411151,107.2,0.03239397634432374
55,2018-12-15 17:00:00,101.4513280139255,98.9,0.02579704766355408
56,2018-12-15 16:00:00,102.65516756979649,103.2,0.005279384013599934
57,2018-12-15 15:00:00,99.86029394226304,102.1,0.021936396255993664
58,2018-12-15 14:00:00,92.42217920026432,93.2,0.00834571673536136
59,2018-12-15 13:00:00,89.14471483006422,92.4,0.035230358981989056
60,2018-12-15 12:00:00,89.2754416853187,91.6,0.025377274177743426
61,2018-12-15 11:00:00,89.51955407283629,86.7,0.032520808221871776
62,2018-12-15 10:00:00,87.13678931431721,89.6,0.027491190688423907
63,2018-12-15 09:00:00,89.9976752650328,103.4,0.12961629337492464
64,2018-12-15 08:00:00,87.6127397868854,100.0,0.12387260213114601
65,2018-12-15 07:00:00,82.18600840862628,93.0,0.1162794794771368
66,2018-12-15 06:00:00,80.65750940617974,87.0,0.07290219073356619
67,2018-12-15 05:00:00,80.53614022220684,79.8,0.009224814814622081
68,2018-12-15 04:00:00,83.41911660090013,82.5,0.01114080728363788
69,2018-12-15 03:00:00,88.37521956075416,83.1,0.06348037979246891
70,2018-12-15 02:00:00,93.47814865135892,87.2,0.07199711756145549
71,2018-12-15 01:00:00,91.2223025954205,78.7,0.15911439130140403
72,2018-12-15 00:00:00,81.7437445354474,77.2,0.05885679450061401
74,2018-12-14 22:00:00,67.60157708113681,69.3,0.02450826722746302
75,2018-12-14 21:00:00,62.07233051972147,64.2,0.033141269163217045
76,2018-12-14 20:00:00,56.62621494010287,59.4,0.046696718180086354
77,2018-12-14 19:00:00,50.646236759962505,55.3,0.08415485063358936
78,2018-12-14 18:00:00,47.015268927376205,52.4,0.10276204337068309
79,2018-12-14 17:00:00,53.27975059553711,58.0,0.08138361042177397
80,2018-12-14 16:00:00,61.961199252453135,63.9,0.030341169758166888
81,2018-12-14 15:00:00,79.02281579227233,77.3,0.02228739705397579
82,2018-12-14 14:00:00,91.01649907192696,95.5,0.04694765369709991
83,2018-12-14 13:00:00,79.87548249523593,81.1,0.015098859491542119
84,2018-12-14 12:00:00,63.70644863744995,66.6,0.04344671715540604
85,2018-12-14 11:00:00,43.73512227330123,54.1,0.19158738866356326
86,2018-12-14 10:00:00,39.84452857594289,47.7,0.1646849355148242
87,2018-12-14 09:00:00,39.07652393797982,54.5,0.28299956077101246
88,2018-12-14 08:00:00,35.968869751981785,53.7,0.3301886452144919
89,2018-12-14 07:00:00,43.10869121758445,55.5,0.22326682490838828
90,2018-12-14 06:00:00,43.755910662839554,50.3,0.13010117966521756
91,2018-12-14 05:00:00,45.48715832137568,52.7,0.13686606600805165
92,2018-12-14 04:00:00,52.92682794404168,49.1,0.07793946932875116
93,2018-12-14 03:00:00,44.86872061842247,41.4,0.08378552218411772
94,2018-12-14 02:00:00,38.21276543860966,33.5,0.1406795653316316
118,2018-12-13 02:00:00,28.353697450442205,32.8,0.1355580045596888
119,2018-12-13 01:00:00,46.41915512286852,55.2,0.15907327675962835
120,2018-12-13 00:00:00,68.3175377467388,77.4,0.1173444735563464
121,2018-12-12 23:00:00,88.49168839502993,92.4,0.04229774464253334
122,2018-12-12 22:00:00,115.10206942857528,115.6,0.004307357884296864
123,2018-12-12 21:00:00,105.21647703744233,108.7,0.03204712937035576
124,2018-12-12 20:00:00,77.90030956624304,95.1,0.1808589950973392
125,2018-12-12 19:00:00,76.10390135140014,81.6,0.06735415010539038
126,2018-12-12 18:00:00,49.147542122868025,68.3,0.280416659987291
127,2018-12-12 17:00:00,41.77902686037394,51.6,0.19032893681445856
128,2018-12-12 16:00:00,45.20067074069022,57.9,0.21933211155975438
129,2018-12-12 15:00:00,42.07339748764416,55.5,0.24192076598839354
130,2018-12-12 14:00:00,28.751934888220685,37.6,0.23532088063242862
