,时间,太平桥街道,太平桥街道_root,相对偏差
12,2018-12-17 12:00:00,37.902649817752426,49.0,0.22647653433158313
13,2018-12-17 11:00:00,37.067798273872434,47.1,0.21299791350589314
14,2018-12-17 10:00:00,36.638644052001105,45.4,0.19298140854623114
15,2018-12-17 09:00:00,29.329887932175904,37.7,0.22201888774069226
30,2018-12-16 18:00:00,89.30793633429812,96.1,0.0706770412664087
31,2018-12-16 17:00:00,73.01455469282703,71.6,0.019756350458478202
34,2018-12-16 14:00:00,66.95549095311172,72.2,0.07263862945828646
35,2018-12-16 13:00:00,94.11940623258792,85.5,0.1008117688021979
36,2018-12-16 12:00:00,111.25209610073229,112.3,0.009331290287334898
37,2018-12-16 11:00:00,124.60209523473173,127.1,0.019653066603212112
38,2018-12-16 10:00:00,125.83105380342442,130.0,0.03206881689673519
39,2018-12-16 09:00:00,125.06843609674212,127.9,0.02213888900123446
40,2018-12-16 08:00:00,119.17414198957164,124.7,0.04431321580135016
41,2018-12-16 07:00:00,119.20407614134862,121.2,0.016468018635737464
42,2018-12-16 06:00:00,122.61008391046077,129.1,0.05027045770363456
43,2018-12-16 05:00:00,125.27588774008508,129.0,0.028869087286162155
44,2018-12-16 04:00:00,126.28633324697691,127.7,0.011070217329859779
45,2018-12-16 03:00:00,132.4205630407356,127.2,0.04104216226993395
46,2018-12-16 02:00:00,138.2557342713146,131.2,0.053778462433800356
47,2018-12-16 01:00:00,147.8783556780407,143.0,0.03411437537091393
48,2018-12-16 00:00:00,145.3676795404776,141.9,0.024437487952625823
49,2018-12-15 23:00:00,144.2453035337157,141.5,0.01940143840081776
50,2018-12-15 22:00:00,143.48924324080338,143.4,0.00062233780197608
51,2018-12-15 21:00:00,146.55537524352746,144.5,0.014224050128217747
52,2018-12-15 20:00:00,139.05030367654174,127.9,0.08717985673605738
53,2018-12-15 19:00:00,114.658204419825,108.0,0.06165004092430553
54,2018-12-15 18:00:00,112.00759001410292,107.7,0.039996193260008486
55,2018-12-15 17:00:00,112.03031756268408,108.7,0.030637696068850712
56,2018-12-15 16:00:00,111.26186929504301,108.2,0.028298237477292144
57,2018-12-15 15:00:00,94.51228110779019,102.7,0.0797246240721501
58,2018-12-15 14:00:00,94.46841038385593,103.7,0.08902207922993324
59,2018-12-15 13:00:00,94.65172045744174,106.0,0.10705924096753075
60,2018-12-15 12:00:00,100.73894199387237,106.3,0.05231475076319496
61,2018-12-15 11:00:00,95.08308170657834,101.2,0.06044385665436425
62,2018-12-15 10:00:00,92.82569449236306,98.6,0.05856293618293042
63,2018-12-15 09:00:00,91.10778835692322,94.8,0.0389473802012318
64,2018-12-15 08:00:00,92.40197059343447,88.6,0.04291163198007309
65,2018-12-15 07:00:00,84.51393131673134,87.2,0.030803539945741493
66,2018-12-15 06:00:00,82.9186157993561,89.0,0.06833015955779659
67,2018-12-15 05:00:00,84.26547655647371,87.8,0.04025653124745197
68,2018-12-15 04:00:00,82.47996374607528,78.6,0.04936340643861693
69,2018-12-15 03:00:00,84.32035469514751,77.1,0.09364921783589521
70,2018-12-15 02:00:00,85.58028625394306,78.7,0.08742422177818367
71,2018-12-15 01:00:00,88.20360781830044,81.9,0.07696712842857674
72,2018-12-15 00:00:00,90.94346401636625,79.9,0.1382160702924436
74,2018-12-14 22:00:00,78.38386891545525,75.6,0.03682366290284733
75,2018-12-14 21:00:00,76.5891646904578,68.4,0.11972462997745323
76,2018-12-14 20:00:00,70.04421335419572,63.5,0.10305847801883022
77,2018-12-14 19:00:00,63.894657596055794,60.4,0.05785856947112244
78,2018-12-14 18:00:00,57.851283072898894,58.8,0.01613464161736569
79,2018-12-14 17:00:00,71.23097237696388,69.9,0.019041092660427333
80,2018-12-14 16:00:00,84.5247533604781,98.5,0.14188067654336953
81,2018-12-14 15:00:00,77.96422235022459,88.0,0.11404292783835696
82,2018-12-14 14:00:00,83.58508873676759,85.0,0.016646014861557788
83,2018-12-14 13:00:00,75.07621189366421,77.5,0.03127468524304247
84,2018-12-14 12:00:00,46.691325712117276,51.8,0.09862305575063168
85,2018-12-14 11:00:00,35.87098652565215,45.0,0.2028669660966189
86,2018-12-14 10:00:00,29.74151486688904,39.2,0.241287886048749
