,时间,小瓦窑村,小瓦窑村_root,相对偏差
12,2018-12-17 12:00:00,37.0618057187048,31.2,0.18787838842002555
30,2018-12-16 18:00:00,79.34928596381202,54.1,0.46671508251038857
31,2018-12-16 17:00:00,68.38905868313769,51.0,0.34096193496348415
35,2018-12-16 13:00:00,88.22943283403485,53.3,0.6553364509199786
36,2018-12-16 12:00:00,107.9768056883976,59.7,0.8086567116984522
37,2018-12-16 11:00:00,111.96121388055153,64.5,0.7358327733418841
38,2018-12-16 10:00:00,114.43096285431821,62.7,0.8250552289364945
39,2018-12-16 09:00:00,121.9840912788386,65.8,0.8538615695872129
40,2018-12-16 08:00:00,116.030069564907,63.6,0.8243721629702357
41,2018-12-16 07:00:00,125.49148110679022,63.2,0.9856247010568071
42,2018-12-16 06:00:00,131.29906558169725,64.2,1.0451567847616392
43,2018-12-16 05:00:00,128.74724716521567,67.0,0.9216007039584428
44,2018-12-16 04:00:00,129.4840647067223,67.6,0.9154447441822828
45,2018-12-16 03:00:00,129.25848990814572,68.5,0.8869852541335141
46,2018-12-16 02:00:00,136.93985410368438,72.1,0.8993044951967322
47,2018-12-16 01:00:00,140.57511044803798,75.8,0.8545529082854615
48,2018-12-16 00:00:00,151.88016275092812,80.6,0.8843692648998528
49,2018-12-15 23:00:00,153.2611180490705,81.5,0.8805045159395152
50,2018-12-15 22:00:00,141.96014637789116,79.5,0.785662218589826
51,2018-12-15 21:00:00,129.8765197980036,81.3,0.5974971684871294
52,2018-12-15 20:00:00,126.80785733777644,69.9,0.8141324368780605
53,2018-12-15 19:00:00,111.33886484861881,66.6,0.671754727456739
54,2018-12-15 18:00:00,107.25028123375358,67.0,0.6007504661754266
55,2018-12-15 17:00:00,108.0432720762843,67.9,0.5912116653355565
56,2018-12-15 16:00:00,103.34030813155458,67.2,0.5378022043386097
57,2018-12-15 15:00:00,106.38287480139012,64.2,0.6570541246322448
58,2018-12-15 14:00:00,100.84651409762881,64.0,0.5757267827754502
59,2018-12-15 13:00:00,97.22933530453942,62.5,0.5556693648726307
60,2018-12-15 12:00:00,87.52765437465021,58.1,0.5065000752951844
61,2018-12-15 11:00:00,79.68945360278285,56.2,0.4179618078786983
62,2018-12-15 10:00:00,101.2375882596049,58.7,0.7246607880682265
63,2018-12-15 09:00:00,91.60532549874586,57.3,0.5986967800828248
64,2018-12-15 08:00:00,91.12732565183794,56.6,0.6100234214105642
65,2018-12-15 07:00:00,89.2377082684777,57.4,0.5546639071163363
66,2018-12-15 06:00:00,85.6254447664449,56.6,0.5128170453435494
67,2018-12-15 05:00:00,87.5511472608535,56.8,0.5413934376910827
68,2018-12-15 04:00:00,88.3759903220869,57.9,0.526355618688893
69,2018-12-15 03:00:00,93.77141007445061,57.8,0.6223427348520868
70,2018-12-15 02:00:00,90.68533834371817,54.9,0.6518276565340286
71,2018-12-15 01:00:00,91.01049659109306,55.0,0.6547363016562374
72,2018-12-15 00:00:00,91.217735757267,51.9,0.7575671629531213
74,2018-12-14 22:00:00,85.51438344290445,52.1,0.6413509298062273
75,2018-12-14 21:00:00,85.95611031019388,51.7,0.6625940098683535
76,2018-12-14 20:00:00,78.91857929661859,49.0,0.6105832509513998
77,2018-12-14 19:00:00,63.464889788213284,48.8,0.3005100366437149
78,2018-12-14 18:00:00,74.21264757683409,61.2,0.21262496040578568
79,2018-12-14 17:00:00,95.54840497925025,65.9,0.4498999238125985
80,2018-12-14 16:00:00,106.88350448145532,68.8,0.5535393093234785
81,2018-12-14 15:00:00,82.58374246355385,56.8,0.4539391278794692
82,2018-12-14 14:00:00,73.82947320329998,51.0,0.44763672947647026
83,2018-12-14 13:00:00,50.74611277533058,38.2,0.32843227160551247
120,2018-12-13 00:00:00,48.70602711405628,39.2,0.24250069168510918
121,2018-12-12 23:00:00,53.60886630486045,40.9,0.3107302275027005
122,2018-12-12 22:00:00,59.71001371284187,39.1,0.5271103251366207
123,2018-12-12 21:00:00,61.13783370876932,43.4,0.40870584582417796
124,2018-12-12 20:00:00,50.661604652673525,46.7,0.08483093474675635
125,2018-12-12 19:00:00,44.818720141498765,39.2,0.14333469748721334
163,2018-12-11 05:00:00,51.598806315261896,37.7,0.36866860252684064
164,2018-12-11 04:00:00,65.8400079750395,48.3,0.3631471630442961
165,2018-12-11 03:00:00,74.90874343541465,55.0,0.3619771533711754
166,2018-12-11 02:00:00,91.23438132231392,54.7,0.6679045945578412
167,2018-12-11 01:00:00,80.6061151344853,56.9,0.41662768250413523
168,2018-12-11 00:00:00,97.60186805688019,56.8,0.7183427474802851
169,2018-12-10 23:00:00,97.45833057996194,56.5,0.7249262049550785
170,2018-12-10 22:00:00,97.88767405627968,56.4,0.7355970577354554
171,2018-12-10 21:00:00,102.45845446558462,53.8,0.9044322391372608
172,2018-12-10 20:00:00,91.53840343002184,52.2,0.7536092611115295
174,2018-12-10 18:00:00,94.43262579781617,50.5,0.8699529860953698
175,2018-12-10 17:00:00,82.74369097610712,52.5,0.5760703043068023
176,2018-12-10 16:00:00,66.78402906635542,51.9,0.28678283364846663
177,2018-12-10 15:00:00,64.68129176889694,49.7,0.30143444203011943
178,2018-12-10 14:00:00,68.46601937024114,50.0,0.3693203874048228
179,2018-12-10 13:00:00,67.60646211444697,49.5,0.3657871134231711
180,2018-12-10 12:00:00,68.30482520041886,48.4,0.4112567190169187
181,2018-12-10 11:00:00,66.01548661279357,46.2,0.4289066366405533
182,2018-12-10 10:00:00,61.99874746694463,46.0,0.3477988579770571
183,2018-12-10 09:00:00,60.52235302231934,44.4,0.3631160590612465
184,2018-12-10 08:00:00,58.447655801337696,45.2,0.29308973011809053
185,2018-12-10 07:00:00,56.57503229711071,41.2,0.37318039556093946
186,2018-12-10 06:00:00,53.85991603099482,40.2,0.33979890624365205
187,2018-12-10 05:00:00,51.64483343911766,41.2,0.2535153747358655
188,2018-12-10 04:00:00,51.61724245565313,41.2,0.25284569067119234
189,2018-12-10 03:00:00,46.768680259806345,36.2,0.29195249336481605
190,2018-12-10 02:00:00,44.7447755361862,35.3,0.26755738062850426
191,2018-12-10 01:00:00,64.55925588474601,47.9,0.3477923984289355
192,2018-12-10 00:00:00,75.47657112386412,51.9,0.454269193138037
193,2018-12-09 23:00:00,70.60143529817418,54.7,0.29070265627375097
194,2018-12-09 22:00:00,81.51039953458375,62.0,0.3146838634610283
195,2018-12-09 21:00:00,106.77824306386579,74.6,0.43134374080249055
196,2018-12-09 20:00:00,116.86253730356208,72.2,0.6185946994953195
197,2018-12-09 19:00:00,102.19545825289528,65.5,0.5602360038609966
198,2018-12-09 18:00:00,82.39677218358338,55.0,0.4981231306106069
199,2018-12-09 17:00:00,63.47059652822967,47.8,0.32783674745250363
200,2018-12-09 16:00:00,67.6022814383955,54.8,0.23361827442327548
201,2018-12-09 15:00:00,51.71779542674983,44.2,0.17008586938348025
202,2018-12-09 14:00:00,37.0443762940235,36.4,0.017702645440206093
212,2018-12-09 04:00:00,14.484834567370113,32.2,0.5501604171624188
213,2018-12-09 03:00:00,15.87773160100011,39.4,0.5970118882994896
214,2018-12-09 02:00:00,14.091925788694837,39.0,0.6386685695206452
215,2018-12-09 01:00:00,13.455078389115243,38.2,0.647772817038868
217,2018-12-08 23:00:00,45.082023610667775,37.5,0.20218729628447402
218,2018-12-08 22:00:00,14.6476846251999,33.1,0.5574717635891269
287,2018-12-06 01:00:00,62.08836809358416,38.6,0.6085069454296413
