,时间,羊坊村盛芳花卉,羊坊村盛芳花卉_root,相对偏差
12,2018-12-17 12:00:00,46.05632600113287,58.3,0.21001156087250653
13,2018-12-17 11:00:00,54.65374200965318,63.1,0.13385511870597183
14,2018-12-17 10:00:00,49.835342693973715,56.8,0.12261720609201202
15,2018-12-17 09:00:00,36.40269011768069,52.1,0.30129193632090806
16,2018-12-17 08:00:00,20.835135135507407,49.6,0.5799367916228345
17,2018-12-17 07:00:00,16.207364884747946,46.4,0.6507033430011219
18,2018-12-17 06:00:00,19.48187412073096,41.0,0.5248323385187571
19,2018-12-17 05:00:00,10.540435938060005,40.7,0.7410212300230957
20,2018-12-17 04:00:00,10.329721319233172,37.4,0.7238042428012521
21,2018-12-17 03:00:00,10.4355091159628,39.3,0.7344654168966208
22,2018-12-17 02:00:00,10.69514742418519,39.4,0.7285495577617972
23,2018-12-17 01:00:00,10.148056143364318,37.3,0.7279341516524311
24,2018-12-17 00:00:00,14.027279576679337,40.5,0.6536474178597694
25,2018-12-16 23:00:00,20.01176506589175,42.2,0.5257875576802903
26,2018-12-16 22:00:00,31.42579443806506,74.2,0.5764717730718995
30,2018-12-16 18:00:00,158.71387180704517,111.0,0.42985470096437084
31,2018-12-16 17:00:00,121.9925132283241,90.6,0.34649573099695485
32,2018-12-16 16:00:00,61.52741199014513,59.5,0.03407415109487618
33,2018-12-16 15:00:00,63.57525516299472,57.5,0.10565661153034299
34,2018-12-16 14:00:00,94.59392383188211,67.5,0.4013914641760312
35,2018-12-16 13:00:00,113.92737095467365,76.6,0.48730249288085714
36,2018-12-16 12:00:00,123.16326072570003,86.8,0.4189315751808759
37,2018-12-16 11:00:00,137.767479387222,97.4,0.4144505070556674
38,2018-12-16 10:00:00,143.7061718285947,103.8,0.38445252243347505
39,2018-12-16 09:00:00,130.07841314208494,104.5,0.244769503752009
40,2018-12-16 08:00:00,121.12705041770585,103.0,0.17599078075442567
41,2018-12-16 07:00:00,130.28819894274847,102.2,0.27483560609342916
42,2018-12-16 06:00:00,129.45021037373596,107.7,0.2019518140551156
43,2018-12-16 05:00:00,138.76726468021903,119.9,0.1573583376165056
44,2018-12-16 04:00:00,148.45347949366035,122.1,0.21583521288829124
45,2018-12-16 03:00:00,160.02816790976664,125.6,0.2741096171159765
46,2018-12-16 02:00:00,169.4195280169345,134.4,0.2605619644117149
47,2018-12-16 01:00:00,179.65664452205505,133.0,0.35080183851169205
48,2018-12-16 00:00:00,184.62381036706455,136.9,0.348603435844153
49,2018-12-15 23:00:00,203.0418564319143,129.5,0.5678907832580256
50,2018-12-15 22:00:00,209.9678038734619,124.8,0.6824343259091498
51,2018-12-15 21:00:00,192.42794752495183,118.4,0.6252360432850661
52,2018-12-15 20:00:00,158.43577878647878,106.0,0.49467715836300735
53,2018-12-15 19:00:00,149.7961107640972,98.8,0.5161549672479473
54,2018-12-15 18:00:00,120.51099044238828,90.3,0.3345624633708558
55,2018-12-15 17:00:00,99.22741977942384,78.1,0.2705175387890377
56,2018-12-15 16:00:00,95.9696526013455,78.4,0.22410271175185578
57,2018-12-15 15:00:00,110.07501698526103,77.6,0.41849248692346697
58,2018-12-15 14:00:00,103.77637964544674,77.8,0.3338866278335057
59,2018-12-15 13:00:00,96.68710731754763,74.4,0.29955789405305944
60,2018-12-15 12:00:00,95.43319754391308,72.2,0.3217894396663861
61,2018-12-15 11:00:00,96.67590647661955,71.2,0.3578076752334205
62,2018-12-15 10:00:00,97.24628742763143,73.9,0.31591728589487716
63,2018-12-15 09:00:00,82.66999877424982,76.6,0.07924280384138153
64,2018-12-15 08:00:00,87.57964469266435,75.4,0.16153374923958008
65,2018-12-15 07:00:00,89.34558564017314,75.4,0.18495471671317154
66,2018-12-15 06:00:00,89.96077863796606,75.1,0.1978798753390954
67,2018-12-15 05:00:00,84.362862836673,75.6,0.11591088408297631
68,2018-12-15 04:00:00,85.30086651745773,76.2,0.11943394379865789
69,2018-12-15 03:00:00,91.53868267378846,75.7,0.2092296258096229
70,2018-12-15 02:00:00,100.0346583067714,76.7,0.30423283320432076
71,2018-12-15 01:00:00,97.97273987728829,74.7,0.31154939594763437
72,2018-12-15 00:00:00,92.36275104792219,72.7,0.2704642510030562
74,2018-12-14 22:00:00,85.72120037277682,67.6,0.26806509427184655
75,2018-12-14 21:00:00,78.69199239203894,63.1,0.24709972095148874
