,时间,花乡,花乡_root,相对偏差
12,2018-12-17 12:00:00,43.405166545819476,41.6,0.04339342658219891
13,2018-12-17 11:00:00,47.58084155883814,46.2,0.029888345429396862
14,2018-12-17 10:00:00,47.15890781695798,47.7,0.011343651636101152
26,2018-12-16 22:00:00,20.50137716222827,62.7,0.6730242876837598
30,2018-12-16 18:00:00,149.45239218378137,130.4,0.1461073020228632
31,2018-12-16 17:00:00,129.69924755904327,104.8,0.23758824006720683
32,2018-12-16 16:00:00,48.7140382480628,55.4,0.12068523017937183
33,2018-12-16 15:00:00,48.09060132757594,54.9,0.12403276270353478
34,2018-12-16 14:00:00,82.81517867869103,75.6,0.09543887141125705
35,2018-12-16 13:00:00,96.20300567851628,88.5,0.0870396121866246
36,2018-12-16 12:00:00,110.48900109815402,111.6,0.009955187292526651
37,2018-12-16 11:00:00,121.38736237078423,123.0,0.013110875034274543
38,2018-12-16 10:00:00,122.1308486126086,121.3,0.006849535141043736
39,2018-12-16 09:00:00,114.26750903393645,120.0,0.04777075805052959
40,2018-12-16 08:00:00,112.65054603499975,116.7,0.034699691216797376
41,2018-12-16 07:00:00,113.97872533031513,129.2,0.11781172344957323
42,2018-12-16 06:00:00,112.9385227157508,138.8,0.18632188245136314
43,2018-12-16 05:00:00,123.38345882916089,145.9,0.15432858924495627
44,2018-12-16 04:00:00,119.48913523919678,166.6,0.28277829988477315
45,2018-12-16 03:00:00,142.42899155302538,171.1,0.1675687226591152
46,2018-12-16 02:00:00,151.13695042461111,164.0,0.07843322911822491
47,2018-12-16 01:00:00,151.71294798061948,164.7,0.07885277485962668
48,2018-12-16 00:00:00,150.59998811716812,169.2,0.10992914824368716
49,2018-12-15 23:00:00,154.27873044832907,162.6,0.05117631950597124
50,2018-12-15 22:00:00,153.5178315665684,156.2,0.01717137281326248
51,2018-12-15 21:00:00,153.47627210390996,150.4,0.02045393686110344
52,2018-12-15 20:00:00,143.2141010441746,142.0,0.008550007353342336
53,2018-12-15 19:00:00,131.04415111854624,120.2,0.09021756338224822
54,2018-12-15 18:00:00,97.91829995415037,95.2,0.02855357094695764
55,2018-12-15 17:00:00,93.88107645618477,93.1,0.008389650442371404
56,2018-12-15 16:00:00,98.1139175584892,95.8,0.024153627959177543
57,2018-12-15 15:00:00,99.38757355993879,98.3,0.011063820548716068
58,2018-12-15 14:00:00,94.11603517062515,93.4,0.007666329449948046
59,2018-12-15 13:00:00,92.38145649384694,90.8,0.01741692173840246
60,2018-12-15 12:00:00,91.76994490796532,87.2,0.05240762509134544
61,2018-12-15 11:00:00,87.60630816788903,84.8,0.03309325669680458
62,2018-12-15 10:00:00,89.16019882620715,84.0,0.06143093840722798
63,2018-12-15 09:00:00,81.21529748320728,83.9,0.03199883810241627
64,2018-12-15 08:00:00,79.41646472482832,84.7,0.06237940112363267
65,2018-12-15 07:00:00,79.62536414096213,87.0,0.08476592941422835
66,2018-12-15 06:00:00,79.14140821968951,83.0,0.046489057594102295
67,2018-12-15 05:00:00,77.97755001055641,79.0,0.012942404929665653
68,2018-12-15 04:00:00,79.979230803162,78.9,0.013678463918402927
69,2018-12-15 03:00:00,83.67574497106071,85.5,0.021336316127944923
70,2018-12-15 02:00:00,90.5111956939835,94.9,0.0462466207167177
71,2018-12-15 01:00:00,93.04262167231366,95.9,0.029795394449284127
72,2018-12-15 00:00:00,85.10053261243185,85.7,0.006994952013630738
74,2018-12-14 22:00:00,76.07132323433223,71.6,0.062448648524193184
75,2018-12-14 21:00:00,70.31894660810812,66.9,0.05110533046499424
76,2018-12-14 20:00:00,62.587010040759395,63.9,0.020547573697036046
77,2018-12-14 19:00:00,58.72599222207206,58.7,0.0004427976502905524
78,2018-12-14 18:00:00,53.57486332256857,56.9,0.058438254436404755
79,2018-12-14 17:00:00,55.18617285595556,57.6,0.04190672125077152
80,2018-12-14 16:00:00,72.80489418226293,71.1,0.023978821128873885
81,2018-12-14 15:00:00,88.46392482691175,90.0,0.017067501923202777
82,2018-12-14 14:00:00,82.98110535012812,82.5,0.005831580001552945
83,2018-12-14 13:00:00,78.25528874349412,76.6,0.021609513622638715
84,2018-12-14 12:00:00,67.31712323236077,65.6,0.026175659029889893
85,2018-12-14 11:00:00,39.5350306289234,40.6,0.026230772686615767
86,2018-12-14 10:00:00,37.04351098558867,37.0,0.0011759725834775121
87,2018-12-14 09:00:00,37.8715968331728,43.1,0.12130865816304406
88,2018-12-14 08:00:00,37.17191407681785,47.3,0.21412443812224416
89,2018-12-14 07:00:00,33.1651409832156,48.6,0.31758969170338275
90,2018-12-14 06:00:00,37.20352473671978,47.0,0.2084356438995792
91,2018-12-14 05:00:00,37.86413563658868,43.1,0.12148177177288454
92,2018-12-14 04:00:00,37.79067611472837,43.4,0.1292470941306827
93,2018-12-14 03:00:00,37.03772853575983,44.7,0.17141546899866153
94,2018-12-14 02:00:00,36.17281785745891,46.1,0.2153401766277894
95,2018-12-14 01:00:00,37.44663724942617,44.4,0.15660726915706827
96,2018-12-14 00:00:00,30.132030515004356,30.6,0.015293120424694297
97,2018-12-13 23:00:00,20.469174516282187,30.5,0.3288795240563217
118,2018-12-13 02:00:00,25.778149825813962,35.8,0.27993994899960994
119,2018-12-13 01:00:00,35.49862948328406,43.7,0.18767438253354551
120,2018-12-13 00:00:00,42.31801760106938,62.2,0.319646019275412
121,2018-12-12 23:00:00,61.12539877830373,71.2,0.14149720816989142
122,2018-12-12 22:00:00,95.23921566436509,80.6,0.18162798591023693
123,2018-12-12 21:00:00,99.6782922579861,77.9,0.2795672947109896
124,2018-12-12 20:00:00,67.4629966255566,64.4,0.047562059403052685
125,2018-12-12 19:00:00,63.138299069335154,61.0,0.035054083103854994
126,2018-12-12 18:00:00,42.923050967841746,55.8,0.23076969591681454
127,2018-12-12 17:00:00,49.05640586992605,47.7,0.02843618175945597
128,2018-12-12 16:00:00,46.54920879283096,42.4,0.09785869794412645
129,2018-12-12 15:00:00,45.31807745592748,52.2,0.13183759662974182
130,2018-12-12 14:00:00,33.19517994191973,34.3,0.03221049732012433
135,2018-12-12 09:00:00,30.01552268218716,30.7,0.02229567810465272
139,2018-12-12 05:00:00,33.0964361460215,34.0,0.026575407469955792
140,2018-12-12 04:00:00,33.284585346969536,44.0,0.24353215120523783
141,2018-12-12 03:00:00,31.27295754154273,50.7,0.3831763798512282
